Loading trained model, scaler, and label map...
Model components loaded.

--- Single Segment Drum Prediction Example ---
Error: Single segment example audio file not found at /Users/victoriamckinney/Library/Visual Studio Projects/DrumScript/training_data/ENST_processed/1_rock-prog_125_beat_4-4.wav
Please replace '1_rock-prog_125_beat_4-4.wav' with a valid path to an actual segment for testing.

--- Longer Audio File Prediction Example ---

Processing long audio file: /Users/victoriamckinney/Library/Visual Studio Projects/DrumScript/test_audio/test.wav

--- Detected Drum Events (Time-stamped) ---
Time: 0.00s - Drums: hi-hat
Time: 0.10s - Drums: hi-hat
Time: 0.20s - Drums: hi-hat
Time: 0.40s - Drums: hi-hat
Time: 0.50s - Drums: hi-hat
Time: 0.60s - Drums: hi-hat
Time: 0.70s - Drums: hi-hat
Time: 0.80s - Drums: hi-hat
Time: 0.90s - Drums: hi-hat
Time: 1.00s - Drums: hi-hat
Time: 1.10s - Drums: hi-hat
Time: 1.20s - Drums: snare
Time: 1.30s - Drums: hi-hat
Time: 1.40s - Drums: snare
Time: 1.50s - Drums: snare
Time: 1.60s - Drums: snare
Time: 1.70s - Drums: snare
Time: 1.80s - Drums: kick
Time: 1.90s - Drums: kick
Time: 2.00s - Drums: hi-hat
Time: 2.10s - Drums: kick
Time: 2.20s - Drums: hi-hat
Time: 2.30s - Drums: snare
Time: 2.40s - Drums: tom
Time: 2.50s - Drums: tom
Time: 2.60s - Drums: snare
Time: 3.00s - Drums: tom
Time: 3.10s - Drums: tom
Time: 3.20s - Drums: hi-hat
Time: 3.30s - Drums: snare
Time: 3.40s - Drums: snare
Time: 3.50s - Drums: tom
Time: 3.60s - Drums: snare
Time: 3.70s - Drums: hi-hat
Time: 3.80s - Drums: kick
Time: 3.90s - Drums: hi-hat
Time: 4.00s - Drums: tom
Time: 4.10s - Drums: tom
Time: 4.20s - Drums: snare
Time: 4.40s - Drums: hi-hat
Time: 4.60s - Drums: snare
Time: 4.70s - Drums: tom
Time: 4.80s - Drums: snare
Time: 4.90s - Drums: hi-hat
Time: 5.00s - Drums: hi-hat
Time: 5.20s - Drums: snare
Time: 5.30s - Drums: tom
Time: 5.40s - Drums: tom
Time: 5.50s - Drums: snare
Time: 5.60s - Drums: snare
Time: 5.80s - Drums: snare
Time: 5.90s - Drums: tom
Time: 6.10s - Drums: hi-hat
Time: 6.20s - Drums: snare
Time: 6.30s - Drums: snare
Time: 6.40s - Drums: tom
Time: 6.50s - Drums: snare
Time: 6.60s - Drums: hi-hat
Time: 6.80s - Drums: hi-hat
Time: 6.90s - Drums: tom
Time: 7.00s - Drums: tom
Time: 7.10s - Drums: hi-hat
Time: 7.20s - Drums: snare
Time: 7.30s - Drums: hi-hat
Time: 7.40s - Drums: kick
Time: 7.50s - Drums: snare
Time: 7.60s - Drums: kick
Time: 7.70s - Drums: kick
Time: 7.80s - Drums: hi-hat
Time: 7.90s - Drums: kick
Time: 8.10s - Drums: snare
Time: 8.20s - Drums: tom
Time: 8.30s - Drums: hi-hat
Time: 8.40s - Drums: snare
Time: 8.70s - Drums: snare
Time: 8.80s - Drums: tom
Time: 8.90s - Drums: tom
Time: 9.00s - Drums: hi-hat
Time: 9.20s - Drums: kick
Time: 9.30s - Drums: tom
Time: 9.50s - Drums: tom
Time: 9.60s - Drums: snare
Time: 9.70s - Drums: hi-hat
Time: 10.00s - Drums: snare
Time: 10.10s - Drums: tom
Time: 10.20s - Drums: tom
Time: 10.30s - Drums: snare
Time: 10.40s - Drums: snare
Time: 10.70s - Drums: tom
Time: 10.80s - Drums: tom
Time: 10.90s - Drums: hi-hat
Time: 11.00s - Drums: snare
Time: 11.30s - Drums: snare
Time: 11.40s - Drums: hi-hat
Time: 11.50s - Drums: kick
Time: 11.60s - Drums: hi-hat
Time: 11.70s - Drums: kick
Time: 11.90s - Drums: snare
Time: 12.00s - Drums: tom
Time: 12.10s - Drums: hi-hat
Time: 12.40s - Drums: hi-hat
Time: 12.50s - Drums: snare
Time: 12.60s - Drums: tom
Time: 12.70s - Drums: tom
Time: 12.80s - Drums: hi-hat
Time: 12.90s - Drums: snare
Time: 13.10s - Drums: tom
Time: 13.20s - Drums: snare
Time: 13.30s - Drums: hi-hat
Time: 13.40s - Drums: kick
Time: 13.50s - Drums: hi-hat
Time: 13.60s - Drums: tom
Time: 13.70s - Drums: tom
Time: 13.80s - Drums: hi-hat
Time: 13.90s - Drums: snare
Time: 14.00s - Drums: hi-hat
Time: 14.10s - Drums: snare
Time: 14.20s - Drums: snare
Time: 14.30s - Drums: tom
Time: 14.40s - Drums: snare
Time: 14.50s - Drums: hi-hat
Time: 14.90s - Drums: tom
Time: 15.00s - Drums: hi-hat
Time: 15.10s - Drums: snare
Time: 15.20s - Drums: snare
Time: 15.30s - Drums: kick
Time: 15.40s - Drums: tom
Time: 15.50s - Drums: tom
Time: 15.60s - Drums: tom
Time: 15.70s - Drums: hi-hat
Time: 15.80s - Drums: snare
Time: 15.90s - Drums: snare
Time: 16.00s - Drums: snare
Time: 16.10s - Drums: snare
Time: 16.20s - Drums: hi-hat
Time: 16.30s - Drums: snare
Time: 16.40s - Drums: hi-hat
Time: 16.50s - Drums: hi-hat
Time: 16.70s - Drums: hi-hat
Time: 16.80s - Drums: tom
Time: 17.00s - Drums: snare
Time: 17.10s - Drums: snare
Time: 17.20s - Drums: tom
Time: 17.30s - Drums: snare
Time: 17.40s - Drums: tom
Time: 17.60s - Drums: kick
Time: 17.70s - Drums: snare
Time: 17.80s - Drums: tom
Time: 17.90s - Drums: tom
Time: 18.00s - Drums: snare
Time: 18.10s - Drums: hi-hat
Time: 18.20s - Drums: hi-hat
Time: 18.40s - Drums: tom
Time: 18.50s - Drums: tom
Time: 18.70s - Drums: hi-hat
Time: 18.80s - Drums: snare
Time: 18.90s - Drums: snare
Time: 19.00s - Drums: snare
Time: 19.10s - Drums: tom
Time: 19.20s - Drums: snare
Time: 19.30s - Drums: hi-hat
Time: 19.50s - Drums: kick
Time: 19.60s - Drums: hi-hat
Time: 19.70s - Drums: tom
Time: 19.80s - Drums: hi-hat
Time: 19.90s - Drums: snare
Time: 20.10s - Drums: tom
Time: 20.20s - Drums: snare
Time: 20.30s - Drums: tom
Time: 20.40s - Drums: tom
Time: 20.50s - Drums: hi-hat
Time: 20.60s - Drums: snare
Time: 20.70s - Drums: snare
Time: 20.80s - Drums: tom
Time: 20.90s - Drums: snare
Time: 21.00s - Drums: hi-hat
Time: 21.10s - Drums: snare
Time: 21.40s - Drums: tom
Time: 21.50s - Drums: hi-hat
Time: 21.60s - Drums: tom
Time: 21.80s - Drums: snare
Time: 21.90s - Drums: snare
Time: 22.00s - Drums: tom
Time: 22.10s - Drums: snare
Time: 22.20s - Drums: tom
Time: 22.30s - Drums: kick
Time: 22.40s - Drums: hi-hat
Time: 22.50s - Drums: snare
Time: 22.60s - Drums: snare
Time: 22.70s - Drums: hi-hat
Time: 22.80s - Drums: snare
Time: 22.90s - Drums: hi-hat
Time: 23.00s - Drums: kick
Time: 23.10s - Drums: hi-hat
Time: 23.30s - Drums: tom
Time: 23.50s - Drums: tom
Time: 23.60s - Drums: hi-hat
Time: 23.80s - Drums: snare
Time: 23.90s - Drums: hi-hat
Time: 24.00s - Drums: snare
Time: 24.10s - Drums: tom
Time: 24.20s - Drums: kick
Time: 24.40s - Drums: snare
Time: 24.50s - Drums: tom
Time: 24.60s - Drums: tom
Time: 24.70s - Drums: snare
Time: 24.80s - Drums: hi-hat
Time: 24.90s - Drums: kick
Time: 25.10s - Drums: tom
Time: 25.20s - Drums: kick
Time: 25.30s - Drums: hi-hat, snare
Time: 25.40s - Drums: kick
Time: 25.50s - Drums: hi-hat
Time: 25.60s - Drums: snare
Time: 25.70s - Drums: tom
Time: 25.80s - Drums: hi-hat, tom
Time: 25.90s - Drums: snare
Time: 26.00s - Drums: snare
Time: 26.10s - Drums: snare
Time: 26.20s - Drums: kick
Time: 26.40s - Drums: tom
Time: 26.50s - Drums: hi-hat
Time: 26.60s - Drums: snare
Time: 26.70s - Drums: snare
Time: 26.80s - Drums: tom
Time: 26.90s - Drums: snare
Time: 27.00s - Drums: tom
Time: 27.10s - Drums: hi-hat
Time: 27.20s - Drums: kick
Time: 27.40s - Drums: hi-hat
Time: 27.50s - Drums: hi-hat, tom
Time: 27.60s - Drums: snare
Time: 27.80s - Drums: snare
Time: 28.20s - Drums: hi-hat
Time: 28.30s - Drums: tom
Time: 28.60s - Drums: snare
Time: 28.70s - Drums: tom
Time: 28.80s - Drums: snare
Time: 28.90s - Drums: hi-hat
Time: 29.00s - Drums: snare
Time: 29.20s - Drums: snare
Time: 29.30s - Drums: tom
Time: 29.40s - Drums: hi-hat
